builder,community_name,city,description,main_highlight,amenities,lenders,tags,youtube_url
Lennar,Reynolds Crossing,"Winston-Salem, NC",Casas unifamiliares con planos abiertos y cocinas con acabados de diseñador en Winston-Salem. Cerca de Pilot Mountain State Park y The Village at Robinhood.,"Desde $314,999 - listas para mudarse",Playground,Lennar Mortgage,move-in-ready;single-family,https://www.youtube.com/watch?v=RfaFQ3X8FTI
Lennar,Kings Crossing - Dream,"King, NC","Casas unifamiliares en el masterplan Kings Crossing en King, NC. Parque infantil y cancha de pickleball. A 20 min de downtown Winston-Salem y cerca de Pilot Mountain.","Desde $339,999",Playground;Pickleball court,Lennar Mortgage,single-family,https://www.youtube.com/watch?v=IUphsYEucJA
Lennar,Sagecroft - Hanover Collection,"Graham, NC","Casas unifamiliares en el masterplan Sagecroft en Graham, NC. Tot lot, dog park y senderos. A menos de 2 millas de downtown Graham y 3 min de Haw River.","Desde $304,990",Greenbelt;Playground;Dog park;Trails,Lennar Mortgage,single-family,
Lennar,Lawson Townes,"Haw River, NC","Townhomes nuevos de dos plantas en Haw River, entre Durham y Greensboro. Tot lot, dog park y mantenimiento de jardín. Cerca de US-70 e I-40.","Desde $245,990 - townhomes",Tot lot;Dog park;Lawn maintenance,Lennar Mortgage,townhomes;move-in-ready,
Lennar,Redhawk - Glen,"Belmont, NC",,"Desde $314,999",,Lennar Mortgage,single-family,
Lennar,Cannon Village - Glen,"York, SC",,"Desde $225,849",,Lennar Mortgage,single-family,
Lennar,Creekside Cottages,"Bessemer City, NC",,"Desde $319,619",,Lennar Mortgage,single-family,
Lennar,Cannon Village - Dream Modern,"York, SC",,"Desde $348,999",,Lennar Mortgage,single-family,
Lennar,Roselyn - Garden,"Lancaster, SC",,"Desde $379,999",,Lennar Mortgage,55-plus,
Lennar,Bakers Creek - Dream Heritage,"Kannapolis, NC",,"Desde $334,299",,Lennar Mortgage,single-family,
Lennar,Redhawk - Walk,"Belmont, NC",,"Desde $411,999",,Lennar Mortgage,single-family,
Lennar,River Ridge Townes,"Charlotte, NC",,"Desde $296,849",,Lennar Mortgage,townhomes,
Lennar,Cleveland Hill,"Shelby, NC",,"Desde $277,099",,Lennar Mortgage,single-family,
Lennar,Redhawk - Enclave,"Belmont, NC",,"Desde $436,499",,Lennar Mortgage,single-family,
Lennar,Bakers Creek - Dream Modern,"Kannapolis, NC",,"Desde $376,799",,Lennar Mortgage,single-family,
Lennar,Roselyn - Blossom,"Lancaster, SC",,"Desde $407,949",,Lennar Mortgage,55-plus,
Lennar,Cannon Village - Cosmos,"York, SC",,"Desde $227,149",,Lennar Mortgage,single-family,
Lennar,The Vines - Chase,"Charlotte, NC",,"Desde $338,999",,Lennar Mortgage,single-family,
Lennar,Norman Station,"Mooresville, NC",,"Desde $425,779",,Lennar Mortgage,single-family,
Lennar,Roselyn - Primrose,"Lancaster, SC",,"Desde $500,000",,Lennar Mortgage,55-plus,
Lennar,Winecoff Village,"Troutman, NC",,"Desde $351,449",,Lennar Mortgage,single-family,
Lennar,Village of Waxhaw,"Waxhaw, NC",,"Desde $399,999",,Lennar Mortgage,single-family,
Lennar,Sullivan Farm,"Statesville, NC",,"Desde $306,830",,Lennar Mortgage,single-family,
Lennar,Caitlin Crossing - Designer Collection,"Lillington, NC",,"Desde $221,990",,Lennar Mortgage,single-family,
Lennar,Pinecrest,"Princeton, NC",,"Desde $281,805",,Lennar Mortgage,single-family,
Lennar,Elizabeth Springs,"Wake Forest, NC",,"Desde $330,990",,Lennar Mortgage,single-family,
Lennar,Golden Trace - Sterling Collection,"Garner, NC",,"Desde $419,990",,Lennar Mortgage,single-family,
Lennar,Rosedale - Sterling Collection,"Wake Forest, NC",,"Desde $442,990",,Lennar Mortgage,single-family,
Lennar,Myrtle Meadows - Designer Collection,"Angier, NC",,"Desde $245,990",,Lennar Mortgage,single-family,
Lennar,Elm Grove - City Collection,"Raleigh, NC",,"Desde $324,990",,Lennar Mortgage,single-family,
