community,name,description,youtube_url,price,bedrooms,bathrooms,sqft
Reynolds Crossing,Whitman,Casa unifamiliar de una planta con cochera para 2 autos.,,314999,3,2.5,1600
Reynolds Crossing,Crestwind,Casa unifamiliar con planta abierta.,,332999,3,2.5,1735
Reynolds Crossing,Aspen,Casa unifamiliar de 4 recámaras.,,336999,4,2.5,1825
Reynolds Crossing,Anderson,Casa unifamiliar con cocina de diseñador.,,347999,3,2.5,1928
Reynolds Crossing,Broadmoor,Casa unifamiliar de 4 recámaras.,,349999,4,2.5,1990
Reynolds Crossing,Bradford,Casa unifamiliar espaciosa.,,357999,3,2.5,2016
Reynolds Crossing,Westbury,Casa unifamiliar de 4 recámaras.,,362999,4,2.5,2169
Reynolds Crossing,Davidson,Casa unifamiliar de 4 recámaras y 3 baños.,,369999,4,3,2170
Kings Crossing - Dream,Shelley II,Casa unifamiliar de una planta.,,339999,3,2,1532
Kings Crossing - Dream,Bishop II,Casa unifamiliar con planta abierta.,,339999,3,2.5,1742
Kings Crossing - Dream,Blake II,Casa unifamiliar de dos plantas.,,349999,3,2.5,1938
Kings Crossing - Dream,Browning II,Casa unifamiliar de 4 recámaras.,,359999,4,2.5,2141
Kings Crossing - Dream,Hughes II,Casa unifamiliar de 4 recámaras.,,376999,4,2.5,2386
Sagecroft - Hanover Collection,Chadwick,Casa unifamiliar de la Hanover Collection.,,304990,3,2.5,1924
Sagecroft - Hanover Collection,Davidson,Casa unifamiliar de 4 recámaras y 3 baños.,,319990,4,3,2132
Sagecroft - Hanover Collection,Spencer,Casa unifamiliar de 5 recámaras.,,329990,5,3,2375
Lawson Townes,Cameron,Townhome de dos plantas.,,245990,3,2.5,1592
Redhawk - Glen,Abbey,Townhome de 3 recámaras con cochera.,,316999,3,2.5,1631
Redhawk - Glen,Carlton,Townhome de 3 recámaras con cochera.,,322999,3,2.5,1708
Cannon Village - Glen,Bristol,Townhome de la Glen Collection.,,235999,3,2.5,1661
Cannon Village - Glen,Drayton,Townhome de la Glen Collection.,,235999,3,2.5,1657
